id_kabupaten,nama_kabupaten,frekuensi_gempa,seismic_density,mag_p95,mag_std,b_value,depth_std,depth_skew,shallow_ratio,event_concentration,centroid_lat,centroid_lon,cluster_label
IDN.1.16_1,Langsa,1.0,0.005061644789680359,3.665418199,0.0,1.0,0.0,0.0,1.0,1.0,4.518107891,97.93490601,1
IDN.1.17_1,Lhokseumawe,1.0,0.00718041876652181,3.373381601,0.0,1.0,0.0,0.0,1.0,1.0,5.217179775,97.05319214,1
IDN.1.22_1,Simeulue,1071.0,0.5822385654027125,5.0089558575,0.6919158554873484,0.18232386703886122,37.02900151551649,11.800861873424108,0.9607843137254902,0.0028011204481792717,2.414328977182073,96.13020021835668,3
IDN.3.7_1,Pangkalpinang,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.4.3_1,KotaTangerang,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.4.7_1,TangerangSelatan,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.6.3_1,DanauLimboto,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.7.1_1,JakartaBarat,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.7.2_1,JakartaPusat,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.7.3_1,JakartaSelatan,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.7.4_1,JakartaTimur,1.0,0.005354291864833469,4.674786691,0.0,1.0,0.0,0.0,0.0,1.0,-6.192215919,106.8865662,1
IDN.7.5_1,JakartaUtara,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.7.6_1,KepulauanSeribu,16.0,1.8531886623392455,5.4984044142499995,0.7871073394367691,0.4164931201194906,137.53738885602465,-0.21529933074337212,0.3125,0.0625,-5.445191296375,106.569146025,3
IDN.8.3_1,Jambi,1.0,0.005834929196516103,5.160922411,0.0,1.0,0.0,0.0,1.0,1.0,-1.579255939,103.5939331,1
IDN.8.8_1,SungaiPenuh,1.0,0.0028264419506608533,3.964773106,0.0,1.0,0.0,0.0,0.0,1.0,-2.105076075,101.3450165,1
IDN.8.10_1,TanjungJabungT,5.0,0.0010095201714487244,5.302345277800001,0.8931053195228965,0.3379270221691719,371.99529566917914,0.23939031281983492,0.4,0.2,-1.1094703534,103.98556304000002,2
IDN.9.3_1,Banjar,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.9.10_1,Depok,1.0,0.004946009379719375,3.132111817,0.0,1.0,0.0,0.0,0.0,1.0,-6.37286377,106.7904358,1
IDN.9.15_1,KotaBekasi,1.0,0.004614662744501367,3.652374415,0.0,1.0,0.0,0.0,0.0,1.0,-6.353786469,107.0157623,1
IDN.9.17_1,KotaCirebon,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.10.9_1,Grobogan,1.0,0.00048501383134985177,3.630599626,0.0,1.0,0.0,0.0,1.0,1.0,-7.194939137,110.8371277,1
