weight,algorithm,distance,k,full_scheme,sse,silhouette,dbi,chi,balance
W1_original,KMeans,euclidean,3,W1_original_KMeans_euclidean_k3,2.4092,0.2965,1.2846,214.1245,0.5946
W1_original,KMeans,euclidean,4,W1_original_KMeans_euclidean_k4,1.9202,0.3364,1.0814,221.0109,0.1737
W1_original,KMeans,euclidean,5,W1_original_KMeans_euclidean_k5,1.735,0.2882,1.2925,196.34,0.2157
W1_original,KMeans,manhattan,3,W1_original_KMeans_manhattan_k3,88.5087,0.3035,1.3517,179.6762,0.2103
W1_original,KMeans,manhattan,4,W1_original_KMeans_manhattan_k4,78.6011,0.3244,1.2363,188.0804,0.1691
W1_original,KMeans,manhattan,5,W1_original_KMeans_manhattan_k5,71.5628,0.3017,1.3702,178.8951,0.2112
W1_original,KMedoids,euclidean,3,W1_original_KMedoids_euclidean_k3,2.8633,0.2734,1.368,201.1115,0.701
W1_original,KMedoids,euclidean,4,W1_original_KMedoids_euclidean_k4,2.3661,0.3213,1.1391,213.6283,0.1886
W1_original,KMedoids,euclidean,5,W1_original_KMedoids_euclidean_k5,2.1358,0.2761,1.3196,185.4911,0.2215
W1_original,KMedoids,manhattan,3,W1_original_KMedoids_manhattan_k3,95.3459,0.275,1.7559,159.0635,0.5171
W1_original,KMedoids,manhattan,4,W1_original_KMedoids_manhattan_k4,84.9024,0.2901,1.3412,188.5904,0.297
W1_original,KMedoids,manhattan,5,W1_original_KMedoids_manhattan_k5,77.135,0.3042,1.3425,178.4534,0.2102
W2_optimized,KMeans,euclidean,3,W2_optimized_KMeans_euclidean_k3,2.6107,0.3412,1.1662,267.2345,0.6355
W2_optimized,KMeans,euclidean,4,W2_optimized_KMeans_euclidean_k4,2.0182,0.379,0.9638,278.7202,0.1784
W2_optimized,KMeans,euclidean,5,W2_optimized_KMeans_euclidean_k5,1.7521,0.3586,1.0677,259.1775,0.1875
W2_optimized,KMeans,manhattan,3,W2_optimized_KMeans_manhattan_k3,85.6278,0.3306,1.2744,232.1892,0.3724
W2_optimized,KMeans,manhattan,4,W2_optimized_KMeans_manhattan_k4,74.7831,0.355,1.0212,265.8504,0.212
W2_optimized,KMeans,manhattan,5,W2_optimized_KMeans_manhattan_k5,67.5039,0.3237,1.271,219.4337,0.2166
W2_optimized,KMedoids,euclidean,3,W2_optimized_KMedoids_euclidean_k3,3.0347,0.3164,1.2164,249.5125,0.6904
W2_optimized,KMedoids,euclidean,4,W2_optimized_KMedoids_euclidean_k4,2.2722,0.3652,0.9977,272.1875,0.1953
W2_optimized,KMedoids,euclidean,5,W2_optimized_KMedoids_euclidean_k5,1.9974,0.3448,1.1047,251.8647,0.193
W2_optimized,KMedoids,manhattan,3,W2_optimized_KMedoids_manhattan_k3,92.0659,0.3074,1.3177,194.3705,0.2127
W2_optimized,KMedoids,manhattan,4,W2_optimized_KMedoids_manhattan_k4,79.8155,0.3315,1.119,252.043,0.2529
W2_optimized,KMedoids,manhattan,5,W2_optimized_KMedoids_manhattan_k5,72.3799,0.3293,1.2521,213.2549,0.2138
