id_kabupaten,nama_kabupaten,frekuensi_gempa,depth_mean,mag_max,mag_mean,korban_total,rumah_rusak_total,fasum_rusak_total
IDN.1.2_1,AcehBarat,318.0,16.08805031446541,5.495929743,3.17038023104717,0.0,8.0,0.0
IDN.1.1_1,AcehBaratDaya,49.0,45.183673469387756,4.550803088,3.14651085022449,0.0,17.0,0.0
IDN.1.3_1,AcehBesar,120.0,25.691666666666666,5.064876585,3.28732453035,0.0,0.0,0.0
IDN.1.4_1,AcehJaya,93.0,47.204301075268816,5.874450261,3.334288806064516,0.0,0.0,1.0
IDN.1.5_1,AcehSelatan,138.0,33.391304347826086,5.0626862,3.000997814768116,3.0,2717.0,324.0
IDN.1.6_1,AcehSingkil,30.0,52.5,4.819549756,3.1696905594333336,23.0,3548.0,196.0
IDN.1.7_1,AcehTamiang,3.0,13.0,3.390652414,3.2600750906666662,0.0,0.0,0.0
IDN.1.8_1,AcehTengah,111.0,41.24324324324324,5.027948324,3.1942289786576574,2457.0,14552.0,1515.0
IDN.1.9_1,AcehTenggara,111.0,42.36036036036036,4.809142838,3.112894208873874,0.0,0.0,0.0
IDN.1.10_1,AcehTimur,90.0,16.61111111111111,4.936355699,2.6755890604,0.0,57.0,0.0
IDN.1.11_1,AcehUtara,15.0,22.533333333333335,4.280014058,3.0392688634666665,0.0,0.0,0.0
IDN.1.12_1,BandaAceh,1.0,10.0,3.189475351,3.189475351,0.0,0.0,0.0
IDN.1.13_1,BenerMeriah,92.0,10.282608695652174,4.8726416,2.7932648045434783,122.0,5168.0,429.0
IDN.1.14_1,Bireuen,27.0,33.7037037037037,4.70288509,3.210301468148148,272.0,836.0,166.0
IDN.1.15_1,GayoLues,221.0,21.41176470588235,5.012610701,3.1799440362126696,0.0,26.0,2.0
IDN.1.16_1,Langsa,1.0,10.0,3.665418199,3.665418199,0.0,19.0,0.0
IDN.1.17_1,Lhokseumawe,1.0,20.0,3.373381601,3.373381601,0.0,0.0,0.0
IDN.1.18_1,NaganRaya,185.0,21.897297297297296,5.1761165,3.222141315135135,0.0,163.0,8.0
IDN.1.20_1,Pidie,458.0,13.941048034934498,5.37479451,3.1306112302554583,89.0,1259.0,162.0
IDN.1.19_1,PidieJaya,103.0,14.242718446601941,5.413160898,3.3197911720291264,700.0,8228.0,817.0
IDN.1.21_1,Sabang,17.0,19.352941176470587,3.620037922,2.7209805260588236,0.0,3.0,6.0
IDN.1.22_1,Simeulue,78.0,21.166666666666668,5.7002668,3.7852376617179484,231.0,18561.0,1967.0
IDN.1.23_1,Subulussalam,18.0,54.611111111111114,6.6441627,2.931607275333333,1.0,3369.0,244.0
IDN.2.1_1,Badung,11.0,79.36363636363636,3.36899446,2.557844927,3.0,29.0,23.0
IDN.2.2_1,Bangli,43.0,46.46511627906977,4.65009477,2.8066311780697677,4.0,250.0,235.0
IDN.2.3_1,Buleleng,132.0,23.795454545454547,5.608677366,2.8672619919469695,3.0,91.0,14.0
IDN.2.4_1,Denpasar,8.0,78.875,3.320692477,2.6273620600000003,96.0,76.0,33.0
IDN.2.5_1,Gianyar,13.0,75.38461538461539,4.985269935,3.351943290923077,0.0,2.0,17.0
IDN.2.6_1,Jembrana,22.0,46.40909090909091,4.311388533,2.9404048504090907,2.0,39.0,16.0
IDN.2.7_1,Karangasem,465.0,15.838709677419354,5.1223254,2.8369952277354837,152.0,5566.0,789.0
IDN.2.8_1,Klungkung,13.0,74.53846153846153,3.8310879,2.948690869230769,0.0,19.0,53.0
IDN.2.9_1,Tabanan,44.0,55.59090909090909,4.568745333,2.7266694993409093,3.0,30.0,168.0
IDN.3.4_1,Bangka,1.0,39.0,5.580438998,5.580438998,140.0,355.0,10.0
IDN.3.1_1,BangkaBarat,4.0,8.75,5.726957914,5.20900835375,0.0,0.0,0.0
IDN.3.2_1,BangkaSelatan,1.0,10.0,5.281227957,5.281227957,0.0,0.0,0.0
IDN.3.3_1,BangkaTengah,1.0,10.0,5.575016326,5.575016326,0.0,0.0,0.0
IDN.3.6_1,Belitung,2.0,348.5,5.752156578,5.3861129215000005,0.0,0.0,0.0
IDN.3.5_1,BelitungTimur,2.0,109.5,5.734172313,5.212494653,0.0,0.0,0.0
IDN.3.7_1,Pangkalpinang,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.4.1_1,Cilegon,1.0,172.0,3.818682062,3.818682062,0.0,3.0,1.0
IDN.4.2_1,KotaSerang,2.0,87.0,3.8538186,3.580635863,0.0,0.0,0.0
IDN.4.3_1,KotaTangerang,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.4.4_1,Lebak,138.0,69.57246376811594,5.346413261,3.311288870253623,8.0,1427.0,46.0
IDN.4.5_1,Pandeglang,67.0,65.85074626865672,5.10253613,3.440864724477612,15.0,3709.0,191.0
IDN.4.6_1,Serang,12.0,127.33333333333333,4.93286288,3.609435439166667,0.0,46.0,2.0
IDN.4.8_1,Tangerang,4.0,226.25,3.960267552,3.50059150225,0.0,3.0,0.0
IDN.4.7_1,TangerangSelatan,0.0,514.0,0.0,0.0,0.0,0.0,0.0
