weight,algorithm,distance,k,full_scheme,sse,silhouette,dbi,chi,balance
W1_original,KMeans,euclidean,3,W1_original_KMeans_euclidean_k3,2.9007,0.3167,1.3676,224.2848,0.4939
W1_original,KMeans,euclidean,4,W1_original_KMeans_euclidean_k4,2.3021,0.3221,1.2325,231.1938,0.7868
W1_original,KMeans,euclidean,5,W1_original_KMeans_euclidean_k5,1.9526,0.3441,1.1584,226.2547,0.3623
W1_original,KMeans,manhattan,3,W1_original_KMeans_manhattan_k3,85.6477,0.3126,1.6161,187.9883,0.4828
W1_original,KMeans,manhattan,4,W1_original_KMeans_manhattan_k4,75.9895,0.3158,1.2898,206.7125,0.5743
W1_original,KMeans,manhattan,5,W1_original_KMeans_manhattan_k5,68.554,0.3312,1.2239,195.2549,0.2868
W1_original,KMedoids,euclidean,3,W1_original_KMedoids_euclidean_k3,3.2062,0.2995,1.4077,220.1477,0.6512
W1_original,KMedoids,euclidean,4,W1_original_KMedoids_euclidean_k4,2.7483,0.3318,1.2582,217.4078,0.2443
W1_original,KMedoids,euclidean,5,W1_original_KMedoids_euclidean_k5,2.3338,0.3415,1.1464,221.5671,0.2647
W1_original,KMedoids,manhattan,3,W1_original_KMedoids_manhattan_k3,89.642,0.3101,1.6197,186.2696,0.4561
W1_original,KMedoids,manhattan,4,W1_original_KMedoids_manhattan_k4,80.2652,0.3124,1.2798,210.7754,0.6454
W1_original,KMedoids,manhattan,5,W1_original_KMedoids_manhattan_k5,72.6675,0.323,1.2647,186.1104,0.2847
W2_optimized,KMeans,euclidean,3,W2_optimized_KMeans_euclidean_k3,3.0619,0.3192,1.361,223.8108,0.5462
W2_optimized,KMeans,euclidean,4,W2_optimized_KMeans_euclidean_k4,2.368,0.3339,1.1729,241.1887,0.8
W2_optimized,KMeans,euclidean,5,W2_optimized_KMeans_euclidean_k5,1.9698,0.356,1.0824,242.1342,0.3986
W2_optimized,KMeans,manhattan,3,W2_optimized_KMeans_manhattan_k3,85.9959,0.3052,1.6268,180.7847,0.4936
W2_optimized,KMeans,manhattan,4,W2_optimized_KMeans_manhattan_k4,75.1952,0.3287,1.2069,221.6919,0.5714
W2_optimized,KMeans,manhattan,5,W2_optimized_KMeans_manhattan_k5,67.6662,0.3428,1.1927,208.4122,0.2993
W2_optimized,KMedoids,euclidean,3,W2_optimized_KMedoids_euclidean_k3,3.5171,0.2799,1.4836,207.5843,0.6765
W2_optimized,KMedoids,euclidean,4,W2_optimized_KMedoids_euclidean_k4,2.7898,0.3462,1.1886,229.897,0.2528
W2_optimized,KMedoids,euclidean,5,W2_optimized_KMedoids_euclidean_k5,2.3404,0.3499,1.1413,234.7803,0.2761
W2_optimized,KMedoids,manhattan,3,W2_optimized_KMedoids_manhattan_k3,89.5482,0.3091,1.4677,189.9823,0.381
W2_optimized,KMedoids,manhattan,4,W2_optimized_KMedoids_manhattan_k4,79.2649,0.3141,1.2412,213.4483,0.6788
W2_optimized,KMedoids,manhattan,5,W2_optimized_KMedoids_manhattan_k5,71.6303,0.3313,1.2173,198.4586,0.3158
